MET: 00:00:00:000 | Thrust: -0.05 | Chamber Pres:  1.62 | Throttle: 5.00 | Total Impulse: -0.00
MET: 00:00:00:052 | Thrust: -0.05 | Chamber Pres:  1.06 | Throttle: 5.00 | Total Impulse: -0.00
MET: 00:00:00:102 | Thrust:  0.00 | Chamber Pres:  2.59 | Throttle: 5.00 | Total Impulse: -0.00
MET: 00:00:00:150 | Thrust:  0.00 | Chamber Pres:  2.89 | Throttle: 10.00 | Total Impulse: -0.00
MET: 00:00:00:198 | Thrust:  0.00 | Chamber Pres:  0.77 | Throttle: 10.00 | Total Impulse: -0.00
MET: 00:00:00:248 | Thrust: -0.32 | Chamber Pres:  3.08 | Throttle: 10.00 | Total Impulse: -0.01
MET: 00:00:00:297 | Thrust: -0.32 | Chamber Pres:  1.19 | Throttle: 15.00 | Total Impulse: -0.02
MET: 00:00:00:357 | Thrust: -0.71 | Chamber Pres: -0.92 | Throttle: 15.00 | Total Impulse: -0.04
MET: 00:00:00:405 | Thrust: -0.71 | Chamber Pres:  2.86 | Throttle: 20.00 | Total Impulse: -0.05
MET: 00:00:00:452 | Thrust: -0.84 | Chamber Pres: -0.64 | Throttle: 20.00 | Total Impulse: -0.07
MET: 00:00:00:498 | Thrust: -0.84 | Chamber Pres:  2.50 | Throttle: 20.00 | Total Impulse: -0.09
MET: 00:00:00:544 | Thrust: -0.84 | Chamber Pres:  2.69 | Throttle: 25.00 | Total Impulse: -0.11
MET: 00:00:00:594 | Thrust: -0.82 | Chamber Pres: -1.59 | Throttle: 25.00 | Total Impulse: -0.13
MET: 00:00:00:648 | Thrust: -0.82 | Chamber Pres:  2.76 | Throttle: 25.00 | Total Impulse: -0.15
MET: 00:00:00:701 | Thrust: -0.29 | Chamber Pres:  2.82 | Throttle: 30.00 | Total Impulse: -0.16
MET: 00:00:00:758 | Thrust: -0.29 | Chamber Pres: -2.00 | Throttle: 30.00 | Total Impulse: -0.17
MET: 00:00:00:815 | Thrust: -0.29 | Chamber Pres:  2.86 | Throttle: 35.00 | Total Impulse: -0.18
MET: 00:00:00:872 | Thrust: -0.02 | Chamber Pres: -0.17 | Throttle: 35.00 | Total Impulse: -0.18
MET: 00:00:00:929 | Thrust: -0.02 | Chamber Pres:  2.96 | Throttle: 40.00 | Total Impulse: -0.18
MET: 00:00:00:987 | Thrust: -0.05 | Chamber Pres: -1.94 | Throttle: 40.00 | Total Impulse: -0.18
MET: 00:00:01:048 | Thrust: -0.05 | Chamber Pres:  3.11 | Throttle: 45.00 | Total Impulse: -0.18
MET: 00:00:01:106 | Thrust: -0.03 | Chamber Pres: -0.84 | Throttle: 45.00 | Total Impulse: -0.18
MET: 00:00:01:164 | Thrust: -0.03 | Chamber Pres:  2.50 | Throttle: 50.00 | Total Impulse: -0.18
MET: 00:00:01:214 | Thrust: -0.03 | Chamber Pres: -0.64 | Throttle: 50.00 | Total Impulse: -0.18
MET: 00:00:01:270 | Thrust: -0.65 | Chamber Pres:  1.60 | Throttle: 55.00 | Total Impulse: -0.20
MET: 00:00:01:325 | Thrust: -0.65 | Chamber Pres:  2.12 | Throttle: 60.00 | Total Impulse: -0.21
