MET: 00:00:00:000 | Thrust: -1.95 | Chamber Pres: 15.26 | Throttle: 5.00 | Total Impulse: -0.02
MET: 00:00:00:128 | Thrust: -1.77 | Chamber Pres: 16.71 | Throttle: 5.00 | Total Impulse: -0.04
MET: 00:00:00:202 | Thrust: -1.61 | Chamber Pres: 17.74 | Throttle: 5.00 | Total Impulse: -0.05
MET: 00:00:00:267 | Thrust: -0.95 | Chamber Pres: 17.79 | Throttle: 5.00 | Total Impulse: -0.06
MET: 00:00:00:380 | Thrust: -0.48 | Chamber Pres: 17.76 | Throttle: 5.00 | Total Impulse: -0.07
MET: 00:00:00:479 | Thrust: -0.23 | Chamber Pres: 16.71 | Throttle: 10.00 | Total Impulse: -0.07
MET: 00:00:00:575 | Thrust:  0.25 | Chamber Pres: 17.23 | Throttle: 10.00 | Total Impulse: -0.07
MET: 00:00:00:686 | Thrust:  0.08 | Chamber Pres: 17.12 | Throttle: 10.00 | Total Impulse: -0.07
MET: 00:00:00:805 | Thrust:  0.00 | Chamber Pres: 17.10 | Throttle: 10.00 | Total Impulse: -0.07
MET: 00:00:00:868 | Thrust: -0.22 | Chamber Pres: 17.10 | Throttle: 10.00 | Total Impulse: -0.07
MET: 00:00:01:023 | Thrust: -0.51 | Chamber Pres: 17.04 | Throttle: 10.00 | Total Impulse: -0.07
MET: 00:00:01:107 | Thrust: -0.55 | Chamber Pres: 15.03 | Throttle: 15.00 | Total Impulse: -0.08
MET: 00:00:01:169 | Thrust: -0.47 | Chamber Pres: 15.90 | Throttle: 20.00 | Total Impulse: -0.08
MET: 00:00:01:277 | Thrust: -0.47 | Chamber Pres: 15.90 | Throttle: 20.00 | Total Impulse: Infinity
MET: 00:00:01:334 | Thrust: -0.06 | Chamber Pres: 15.43 | Throttle: 25.00 | Total Impulse: Infinity
MET: 00:00:01:389 | Thrust:  0.32 | Chamber Pres: 17.10 | Throttle: 25.00 | Total Impulse: Infinity
