MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 15.92 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:00:128 | Thrust:  0.00 | Chamber Pres: 16.34 | Throttle: 10.00 | Total Impulse: 0.00
MET: 00:00:00:251 | Thrust:  0.00 | Chamber Pres: 15.78 | Throttle: 20.00 | Total Impulse: 0.00
MET: 00:00:00:319 | Thrust:  0.00 | Chamber Pres: 13.78 | Throttle: 25.00 | Total Impulse: 0.00
MET: 00:00:00:450 | Thrust:  0.00 | Chamber Pres: 15.57 | Throttle: 30.00 | Total Impulse: 0.00
MET: 00:00:00:504 | Thrust:  0.00 | Chamber Pres: 14.62 | Throttle: 40.00 | Total Impulse: 0.00
MET: 00:00:00:622 | Thrust:  0.00 | Chamber Pres: 15.15 | Throttle: 45.00 | Total Impulse: 0.00
MET: 00:00:00:758 | Thrust:  0.00 | Chamber Pres: 15.03 | Throttle: 55.00 | Total Impulse: 0.00
MET: 00:00:00:841 | Thrust:  0.00 | Chamber Pres: 14.92 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:00:913 | Thrust:  0.00 | Chamber Pres: 12.57 | Throttle: 90.00 | Total Impulse: 0.00
MET: 00:00:01:045 | Thrust:  0.00 | Chamber Pres: 16.02 | Throttle: 90.00 | Total Impulse: 0.00
MET: 00:00:01:124 | Thrust:  0.00 | Chamber Pres: 17.64 | Throttle: 90.00 | Total Impulse: 0.00
MET: 00:00:01:284 | Thrust:  0.00 | Chamber Pres: 17.67 | Throttle: 90.00 | Total Impulse: 0.00
MET: 00:00:01:378 | Thrust:  0.00 | Chamber Pres: 13.31 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:01:464 | Thrust:  0.00 | Chamber Pres: 17.15 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:01:526 | Thrust:  0.00 | Chamber Pres: 16.63 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:01:651 | Thrust:  0.00 | Chamber Pres: 16.64 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:01:711 | Thrust:  0.00 | Chamber Pres: 16.62 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:01:848 | Thrust:  0.00 | Chamber Pres: 16.55 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:01:994 | Thrust:  0.00 | Chamber Pres: 16.58 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:02:096 | Thrust:  0.00 | Chamber Pres: 16.54 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:02:197 | Thrust:  0.02 | Chamber Pres: 16.47 | Throttle: 100.00 | Total Impulse: 0.00
MET: 00:00:02:269 | Thrust:  0.42 | Chamber Pres: 16.44 | Throttle: 100.00 | Total Impulse: 0.04
