MET: 00:00:00:054 | Thrust: 189.53 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 4.74
MET: 00:00:00:106 | Thrust: 149.66 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 8.48
MET: 00:00:00:165 | Thrust: 371.01 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 17.76
MET: 00:00:00:219 | Thrust: 322.95 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 25.83
MET: 00:00:00:269 | Thrust: 86.10 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 27.98
MET: 00:00:00:331 | Thrust: 150.69 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 31.75
MET: 00:00:00:386 | Thrust: 236.87 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 37.67
MET: 00:00:00:440 | Thrust: 155.65 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 41.56
MET: 00:00:00:494 | Thrust:  8.19 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 41.77
MET: 00:00:00:547 | Thrust: 85.20 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 43.90
MET: 00:00:00:603 | Thrust: 79.86 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 45.89
MET: 00:00:00:660 | Thrust: 24.86 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 46.51
MET: 00:00:00:718 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 46.51
MET: 00:00:00:773 | Thrust: 33.89 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 47.36
MET: 00:00:00:835 | Thrust: 76.87 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 49.28
MET: 00:00:00:887 | Thrust: 52.14 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 50.59
MET: 00:00:00:943 | Thrust: 61.02 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 52.11
MET: 00:00:01:005 | Thrust: 188.63 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 56.83
MET: 00:00:01:059 | Thrust: 210.40 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 62.09
MET: 00:00:01:121 | Thrust: 63.35 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 63.67
MET: 00:00:01:182 | Thrust: 183.97 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 68.27
MET: 00:00:01:235 | Thrust: 357.51 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 77.21
MET: 00:00:01:286 | Thrust: 299.90 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 84.71
MET: 00:00:01:352 | Thrust:  3.08 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 84.78
MET: 00:00:01:407 | Thrust: 296.17 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 92.19
MET: 00:00:01:470 | Thrust: 358.07 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 101.14
MET: 00:00:01:522 | Thrust: 187.61 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 105.83
MET: 00:00:01:584 | Thrust: 59.53 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 107.32
MET: 00:00:01:645 | Thrust: 208.77 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 112.54
MET: 00:00:01:707 | Thrust: 189.54 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 117.28
MET: 00:00:01:763 | Thrust: 63.08 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 118.85
MET: 00:00:01:820 | Thrust: 50.62 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 120.12
MET: 00:00:01:874 | Thrust: 76.55 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 122.03
MET: 00:00:01:929 | Thrust: 34.18 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 122.89
MET: 00:00:01:992 | Thrust:  0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 122.89
MET: 00:00:02:046 | Thrust: 24.42 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 123.50
MET: 00:00:02:101 | Thrust: 79.78 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 125.49
MET: 00:00:02:154 | Thrust: 86.37 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 127.65
MET: 00:00:02:207 | Thrust:  5.95 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 127.80
MET: 00:00:02:263 | Thrust: 153.88 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 131.65
MET: 00:00:02:316 | Thrust: 237.38 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 137.58
MET: 00:00:02:369 | Thrust: 153.98 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 141.43
MET: 00:00:02:424 | Thrust: 81.78 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 143.48
MET: 00:00:02:483 | Thrust: 320.69 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 151.49
MET: 00:00:02:542 | Thrust: 373.07 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 160.82
MET: 00:00:02:598 | Thrust: 155.43 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 164.71
